index,TMDBid,desc,img,imgSmall,title,title,trailer,allGenres,duration
24,425,"With the impending ice age almost upon them, a mismatched trio of prehistoric critters – Manny the woolly mammoth, Diego the saber-toothed tiger and Sid the giant sloth – find an orphaned infant and decide to return it to its human parents. Along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims.",/mCVQ2cZmGkAHG2Q3fDZTQA1YzeI.jpg,/gLhHHZUzeseRXShoDyC4VqLgsNv.jpg,Ice Age,Ice Age,False,,81
25,177572,"A special bond develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",/wURLf7FW0WYytXl9aeYu5dTbmAT.jpg,/2mxS4wUimwlLmI1xp6QW6NSU361.jpg,Big Hero 6,Big Hero 6,False,,102
26,2062,"Remy, a resident of Paris, appreciates good food and has quite a sophisticated palate. He would love to become a chef so he can create and enjoy culinary masterpieces to his heart's delight. The only problem is, Remy is a rat. When he winds up in the sewer beneath one of Paris' finest restaurants, the rodent gourmet finds himself ideally placed to realize his dream.",/xgDj56UWyeWQcxQ44f5A3RTWuSs.jpg,/npHNjldbeTHdKKw28bJKs7lzqzj.jpg,Ratatouille,Ratatouille,False,,111
27,532067,"It is not strange that the Demon Lord's forces fear the Crimson Demons, the clan from which Megumin and Yunyun originate. Even if the Demon Lord's generals attack their village, the Crimson Demons can just easily brush them off with their supreme mastery of advanced and overpowered magic.  When Yunyun receives a seemingly serious letter regarding a potential disaster coming to her hometown, she immediately informs Kazuma Satou and the rest of his party. After a series of wacky misunderstandings, it turns out to be a mere prank by her fellow demon who wants to be an author. Even so, Megumin becomes worried about her family and sets out toward the Crimson Demons' village with the gang.  There, Kazuma and the others decide to sightsee the wonders of Megumin's birthplace. However, they soon come to realize that the nonsense threat they received might have been more than just a joke.",/m5HPKCi7GdhKmxPTcOQmcLfEmZ9.jpg,/j73LuQcA21KvkVFcroWWMN8tTJv.jpg,映画 この素晴らしい世界に祝福を！紅伝説,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,False,,90
28,301528,"Woody has always been confident about his place in the world and that his priority is taking care of his kid, whether that's Andy or Bonnie. But when Bonnie adds a reluctant new toy called ""Forky"" to her room, a road trip adventure alongside old and new friends will show Woody how big the world can be for a toy.",/q62bpQ67qaXY0u6b2wFEnQYIbPd.jpg,/w9kR8qbmQ01HwnvK4alvnQ2ca0L.jpg,Toy Story 4,Toy Story 4,False,,100
29,214756,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",/jKXzYoVQShnYE25qxS3fgFggx4r.jpg,/qMOt0uy1x49OBW0jzodgRM9waW0.jpg,Ted 2,Ted 2,False,,115
30,863,"Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong.",/91qfG6VaxRsCh1SbIi1w2vxknsL.jpg,/eVGu0zsezaSCuN67zgNhzjeNI9Z.jpg,Toy Story 2,Toy Story 2,False,,92
31,808,"It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",/2at55O0N9cXwr5fW9bfM8WG5pAi.jpg,/dyhaB19AICF7TO7CK2aD6KfymnQ.jpg,Shrek,Shrek,False,,90
32,585,"James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world.",/c7VbRPlev1bRfKvTxr98erw5T7B.jpg,/sgheSKxZkttIe8ONsf2sWXPgip3.jpg,"Monsters, Inc.","Monsters, Inc.",False,,92
33,106646,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",/blbA7NEHARQOWy5i9VF5K2kHrPc.jpg,/pWHf4khOloNVfCxscsXFj3jj6gP.jpg,The Wolf of Wall Street,The Wolf of Wall Street,False,,180
34,293660,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",/en971MEXui9diirXlogOrPKmsEn.jpg,/fSRb7vyIP8rQpL0I47P3qUsEKX3.jpg,Deadpool,Deadpool,False,,108
35,347201,"The spirited Boruto Uzumaki, son of Seventh Hokage Naruto, is a skilled ninja who possesses the same brashness and passion his father once had. However, the constant absence of his father, who is busy with his Hokage duties, puts a damper on Boruto's fire. He ends up meeting his father's friend Sasuke, and requests to become... his apprentice!? The curtain on the story of the new generation rises!",/fy8bBNQyKtRnznm3G3QWdu2wIC8.jpg,/1k6iwC4KaPvTBt1JuaqXy3noZRY.jpg,BORUTO -NARUTO THE MOVIE-,Boruto: Naruto the Movie,False,,95
36,118,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",/bSvUW4JQ6g4QiKvwejcfcPRd4Ke.jpg,/wfGfxtBkhBzQfOZw4S8IQZgrH0a.jpg,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,False,,115
37,862,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",/3Rfvhy1Nl6sSGJwyjb0QiZzZYlB.jpg,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,Toy Story,Toy Story,False,,81
38,354912,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",/askg3SMvhqEl4OL52YuvdtY40Yb.jpg,/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg,Coco,Coco,False,,105
